"Anio","Mes","GLP","GasAviacion","GasSuperior","GasRegular","Kerosina","rTurboJet","Diesel","DieselLS","DieselULS","Bunker","Asfalto","PetCoke","AceitesLub","GrasasLub","Solventes","Naftas","Ceras","Butano","PetroleoReconst","MTBE","Orimulsion","MezclasOleosas","Total"
2015,5,415890.34,NA,618319.21,534049.28,58745.67,NA,954782.75,NA,NA,375606.55,33380.56,163409.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3154183.76
2015,6,526358.48,NA,525280.85,394824.33,100499.13,NA,862071.77,NA,NA,336491.48,10275.34,162807.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2918609.19
2015,7,411971.43,NA,616269.01,519374.15,123496.73,NA,1149630.43,NA,NA,235587.32,2723.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059052.87
2015,8,561563.81,NA,467373.13,328552.07,119764.65,NA,919285.9,NA,NA,348192.53,3047.6,165284.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2913063.82
2015,9,480268.89,NA,576250.29,485906.49,147445.06,NA,754068.77,NA,NA,513707.26,74.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2957721.64
2015,10,423239.36,11536.58,533620.64,432666.75,135724.25,NA,1163425.95,NA,NA,250054.86,571.4,148515.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3099355.08
2015,11,637316.48,NA,724273.97,574547.76,184093.93,NA,904700.42,NA,NA,263741.4,11175.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3299849.79
2015,12,500684.29,NA,498798.79,319329.71,116266.75,NA,1113876.28,NA,NA,208710.54,640.37,148507.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2906814.1
2016,1,748970.64,NA,729211.43,546876.54,16000,104377.6,987507.78,NA,NA,178437.6,27449.2,162512.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3501343.52
2016,2,287337.74,NA,405559.45,424074.81,24900,117800.1,1167227.96,NA,NA,370085.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2796986.02
2016,3,504451.07,25081.9,771024.11,508542.18,13000,111203.62,1498844.95,NA,NA,264193.1,2716.52,181497.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3880554.92
2016,4,587482.69,NA,502728.88,527083.64,16000,59681.73,1137213.1,NA,NA,269518.34,4428.6,161331.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3265468.87
2016,5,416912.47,NA,615900.31,528347.81,19000,97343.58,1035544.08,NA,NA,495459.41,1714.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3210221.96
2016,6,703319.23,NA,502082.45,397477.4,16000,81862.33,800222.53,NA,NA,400963.62,2142.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2904070.46
2016,7,455823.14,NA,618366.1,526652.73,22000,108804.2,859222.62,NA,NA,127905.46,NA,181500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2900274.25
2016,8,588310.54,285,625218.9,512202.57,20000,147462.11,701185.75,NA,NA,246976.3,428.6,181492.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3023562.62
2016,9,306543.41,NA,677892.97,567786.57,17000,94858.75,1274128.31,NA,NA,188931.32,1571.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3128712.73
2016,10,717388.57,NA,546154.65,455850.76,26173,81839.62,927923.5,NA,NA,62511.8,1428.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2819270.5
2016,11,505975.98,6444.2,725548.16,476784.16,13197,95032.9,957656.05,NA,NA,304552.31,4142.9,165005.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3254339.16
2016,12,584807.19,NA,526573.96,473659.59,31039.2,158719.36,1303735.78,NA,NA,306550.77,3857,160560.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3549503.52
2017,1,567345.82,NA,748233.58,527564.9,NA,33917.24,842993.49,NA,NA,213661.5,3190,NA,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,2936978.82
2017,2,279527.23,21844.81,497707.41,469140.06,1040,152952.2,844676.98,NA,NA,72649.78,714.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340252.77
2017,3,780048.59,3505.27,734984.24,608144.98,NA,75312.22,1351787.92,NA,NA,376955.72,3142.9,388055.94,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,4322010.07
2017,4,530578.14,508.27,632843.41,681303.11,NA,154934.13,1406022.43,NA,NA,106518.75,1285.71,404822.98,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,3918889.22
2017,5,604702.55,3193.64,442311.09,386088.18,NA,105375.23,889926.86,NA,NA,160374.5,1285.71,NA,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,2593330.05
2017,6,487244.19,367.94,582374.34,519389.66,NA,48933.84,902659,NA,NA,191218.23,1428.57,182141.85,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,2915829.91
2017,7,510428.14,NA,769214.06,433026.08,NA,54997.21,994338.3,NA,NA,85356.63,1857.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2849217.56
2017,8,538582.14,666.23,607368.72,592103.31,NA,76542.18,846696.35,NA,NA,44448.27,3269.86,583079.69,NA,NA,NA,NA,NA,144.57,NA,NA,NA,NA,3292901.32
2017,9,350294.57,NA,401678.98,316435.22,NA,125724.44,925397.87,NA,NA,218358.99,3857.14,NA,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,2341819.5
2017,10,584709.61,6925.95,657241.76,574073.61,NA,132304.57,740198.57,NA,NA,219812.14,5286.19,167584.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3088136.41
2017,11,935986.51,NA,504247.31,434963.36,NA,24435.17,1135350.1,NA,NA,127575.05,10880.53,NA,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,3173510.32
2017,12,595421.43,4729.14,803216.88,679441.47,NA,80037.74,1305047.55,NA,NA,56960,3150.02,155599.02,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,3683675.54
2018,1,396363.05,NA,535784.7,571858.06,NA,92894.94,NA,1153831.89,21987.53,134033.14,5302.14,NA,NA,NA,NA,NA,NA,78.78,NA,NA,NA,NA,2912134.23
2018,2,591000.02,NA,629467.91,509366.1,NA,52337.76,NA,921684.12,29946.48,85318.21,3721.91,407070.3,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,3229913.18
2018,3,644245.4,15747.16,529507.15,563899.06,NA,23906.14,NA,889227.1,12064.95,84988.82,6182.35,418762.45,NA,NA,NA,NA,NA,74.03,NA,NA,NA,NA,3188604.61
2018,4,188590.81,NA,617512.28,510830,NA,70906.87,NA,696962.77,NA,219805.45,1877.72,NA,NA,NA,NA,NA,NA,72.29,NA,NA,NA,NA,2306558.19
2018,5,636234.13,NA,580329.35,580825.11,NA,72992.51,NA,1592580.34,38055.3,111460.41,4300,327075.21,NA,NA,NA,NA,NA,6.96,NA,NA,NA,NA,3943859.32
2018,6,618811.33,21208.26,558257.59,463620.61,1000,34249.65,NA,777679.91,NA,130426.6,6413,NA,NA,NA,NA,NA,NA,144.57,NA,NA,NA,NA,2611811.52
2018,7,584386.15,4005.99,784601.77,543333.77,NA,40811,NA,793683.41,NA,148012.12,8518.71,385600.49,NA,NA,NA,NA,NA,5.84,NA,NA,NA,NA,3292959.25
2018,8,408658.63,20437.54,541557.34,663834.04,NA,81985.47,NA,1281364.78,NA,214625.41,3434.71,NA,NA,NA,NA,NA,NA,74.63,NA,NA,NA,NA,3215972.55
2018,9,449846.76,18379.3,536897.09,454442.87,NA,94980.04,NA,896266.43,NA,26753.84,4473.29,406985.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2889025.05
2018,10,600230.45,2395.3,663440.34,726044.35,NA,55219.75,NA,992682.04,6049,150085.74,4285.71,418296.61,NA,NA,NA,NA,NA,74.94,NA,NA,NA,NA,3618804.23
2018,11,598626.16,NA,509382.86,534084.49,NA,52310.24,NA,899588.34,39035.84,65312.15,2584.71,244787,NA,NA,NA,NA,NA,73.85,NA,NA,NA,NA,2945785.64
2018,12,614887,NA,631652.56,535639.97,NA,87868.41,NA,792198.66,NA,84669.38,2588.13,438155.24,NA,NA,NA,NA,NA,83.27,NA,NA,NA,NA,3187742.62
2019,1,414086.12,15399.57,684504.84,702923.37,NA,59152.84,NA,1195728.2,NA,196719.1,3058.43,208276.69,18000.82,936.83,5682.58,NA,334,0.41,NA,NA,NA,475.49,3505279.29
2019,2,460518.8,1801.96,414495.38,469437.28,NA,101570.62,NA,1208476.16,NA,100485.14,8142.86,279583.39,21366.77,536.54,11978.35,342.55,307.6,144.57,NA,NA,NA,1911.93,3081099.9
2019,3,384408.73,NA,704276.53,678145.38,NA,118678.8,NA,1269054.25,NA,109888.23,10682.12,256490,17853.99,995.5,4398.29,NA,426.69,73.31,NA,NA,NA,2170.21,3557542.03
2019,4,670626.58,14371.63,656495.95,867761.34,NA,76765.06,NA,1215209.05,39866.57,280702.33,2761.9,276252.72,14079.44,167.35,5109,NA,512.67,3.02,NA,NA,NA,1944.32,4122628.93
2019,5,570540.82,NA,568128.41,596798.22,NA,59987.32,NA,1011872.87,NA,103315.2,6347.62,485520.18,19828.77,284.23,5394.94,NA,171.98,NA,NA,NA,NA,2277.53,3430468.09
2019,6,558428.52,13290.5,629788.43,712731.8,NA,68548.57,NA,1029100.9,NA,346048.3,4261.9,256057.52,13872.63,170.24,8719.4,NA,507.79,NA,NA,NA,NA,NA,3641526.5
